image,name,years,occupation,country,excerpt
https://commons.wikimedia.org/wiki/Special:FilePath/James Clerk Maxwell.png,James Clerk Maxwell,1831-1879,scientist/physicist,scotland,"Maxwell's equations unified electricity, magnetism, and light into a single electromagnetic theory, predicting that light itself is an electromagnetic wave.\n\nHis work bridged Newton and Einstein and made radio, radar, and modern communication possible."
https://commons.wikimedia.org/wiki/Special:FilePath/Dmitri Mendeleev.jpg,Dmitri Mendeleev,1834-1907,scientist/chemist,russia,"Mendeleev arranged the known elements into the periodic table, and boldly left gaps for elements not yet discovered.\n\nWhen gallium and germanium were found with the properties he predicted, the table became one of science's great triumphs."
https://commons.wikimedia.org/wiki/Special:FilePath/Charles Darwin seated crop.jpg,Charles Darwin,1809-1882,scientist/naturalist,england,"Drawing on his voyage aboard the Beagle, Darwin argued in On the Origin of Species that life evolves through natural selection acting on inherited variation.\n\nHis theory reshaped biology and humanity's understanding of its own place in nature."
https://commons.wikimedia.org/wiki/Special:FilePath/Abraham Lincoln O-77 matte collodion print.jpg,Abraham Lincoln,1809-1865,statesman,united states,"Lincoln led the United States through its Civil War, preserving the Union and issuing the Emancipation Proclamation that set the end of slavery in motion.\n\nHe was assassinated in 1865, weeks after the Confederacy's surrender."
https://commons.wikimedia.org/wiki/Special:FilePath/Mahatma-Gandhi%2C studio%2C 1931.jpg,Mahatma Gandhi,1869-1948,activist,india,"Gandhi led India's independence movement through mass nonviolent civil disobedience, from the Salt March to the campaign to quit India.\n\nHis philosophy of satyagraha inspired civil rights and freedom movements around the world."
https://commons.wikimedia.org/wiki/Special:FilePath/Marie Curie c1920.jpg,Marie Curie,1867-1934,scientist/physicist,poland,"Curie coined the term radioactivity and, with her husband Pierre, discovered the elements polonium and radium.\n\nShe remains the only person to win Nobel Prizes in two different sciences, physics and chemistry, and died from the radiation she studied."
https://commons.wikimedia.org/wiki/Special:FilePath/Sir Winston Churchill - 19086236948.jpg,Winston Churchill,1874-1965,statesman,united kingdom,"As Britain's prime minister during the Second World War, Churchill's defiance and oratory rallied the nation through its darkest year against Nazi Germany.\n\nA writer and historian as well as a politician, he won the Nobel Prize in Literature in 1953."
https://commons.wikimedia.org/wiki/Special:FilePath/Niels Bohr.jpg,Niels Bohr,1885-1962,scientist/physicist,denmark,"Bohr proposed that electrons occupy fixed quantum orbits, explaining the spectrum of hydrogen and launching quantum theory.\n\nHis Copenhagen institute became the hub of twentieth-century physics, and his debates with Einstein defined how we interpret the quantum world."
https://commons.wikimedia.org/wiki/Special:FilePath/Einstein 1921 by F Schmutzer - restoration.jpg,Albert Einstein,1879-1955,scientist/physicist,germany,"Einstein's theories of special and general relativity recast space, time, and gravity, while his work on the photoelectric effect helped found quantum physics.\n\nA refugee from Nazi Germany, he became the twentieth century's symbol of scientific genius."
https://commons.wikimedia.org/wiki/Special:FilePath/Pablo picasso 1.jpg,Pablo Picasso,1881-1973,artist,spain,"Co-founder of Cubism, Picasso shattered the conventions of representation and reinvented his own style repeatedly across a seventy-year career.\n\nHis anti-war mural Guernica remains one of the most powerful political images in art."
https://commons.wikimedia.org/wiki/Special:FilePath/Nelson Mandela-2008 (edit).jpg,Nelson Mandela,1918-2013,statesman,south africa,"Imprisoned for 27 years for resisting apartheid, Mandela emerged to negotiate its peaceful end and became South Africa's first democratically elected president.\n\nHe championed reconciliation over revenge, becoming a global symbol of moral leadership."
